grupo,clase,n
CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,22 Humedales,17
CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,41 Bosque latifoliado y mixto,11
CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,44 Otros arbóreo en tierras no agrícola,8
CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,21 Cuerpos de Agua,6
CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,12 Otras tierras,4
CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,44 Otros arbóreo en tierras no agrícola,77764
CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales",75015
CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,91 Otras,67232
CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,41 Bosque latifoliado y mixto,65712
CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,11 Urbano,19234
CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,31 Cultivos intensivos No-Arbóreos,4184
CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,32 Cultivos Arbóreos,4173
CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,21 Cuerpos de Agua,1516
CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,12 Otras tierras,998
CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,22 Humedales,957
CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,"33 Cultivos extensivos, Pastizales y matorrales",70789
CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,32 Cultivos Arbóreos,55731
CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,41 Bosque latifoliado y mixto,36145
CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,31 Cultivos intensivos No-Arbóreos,12274
CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,11 Urbano,10774
CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,44 Otros arbóreo en tierras no agrícola,5714
CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,12 Otras tierras,2552
CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,43 Manglares,2288
CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,21 Cuerpos de Agua,676
CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,42 Bosque de coníferas,433
CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,"33 Cultivos extensivos, Pastizales y matorrales",938
CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,31 Cultivos intensivos No-Arbóreos,386
CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,41 Bosque latifoliado y mixto,307
CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,32 Cultivos Arbóreos,229
CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,12 Otras tierras,156
CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,11 Urbano,75
CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,22 Humedales,67
CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,43 Manglares,59
CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,21 Cuerpos de Agua,31
CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,44 Otros arbóreo en tierras no agrícola,14
CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,42 Bosque de coníferas,5
CENAT/PRIAS - Cultivos - Costa Rica,31 Cultivos intensivos No-Arbóreos,22224
"CONAFOR -Inventario Forestal Estado Campeche, México",41 Bosque latifoliado y mixto,1884
"CONAFOR -Inventario Forestal Estado Campeche, México","33 Cultivos extensivos, Pastizales y matorrales",406
"CONAFOR -Inventario Forestal Estado Campeche, México",31 Cultivos intensivos No-Arbóreos,168
"CONAFOR -Inventario Forestal Estado Campeche, México",43 Manglares,139
"CONAFOR -Inventario Forestal Estado Campeche, México",22 Humedales,64
"CONAFOR -Inventario Forestal Estado Campeche, México",42 Bosque de coníferas,12
"CONAFOR -Inventario Forestal Estado Campeche, México",12 Otras tierras,12
"CONAFOR -Inventario Forestal Estado Campeche, México",44 Otros arbóreo en tierras no agrícola,4
"CONAFOR -Inventario Forestal Estado Campeche, México",21 Cuerpos de Agua,4
"CONAFOR -Inventario Forestal Estado Chiapas, , México",41 Bosque latifoliado y mixto,755
"CONAFOR -Inventario Forestal Estado Chiapas, , México","33 Cultivos extensivos, Pastizales y matorrales",708
"CONAFOR -Inventario Forestal Estado Chiapas, , México",31 Cultivos intensivos No-Arbóreos,148
"CONAFOR -Inventario Forestal Estado Chiapas, , México",42 Bosque de coníferas,104
"CONAFOR -Inventario Forestal Estado Chiapas, , México",43 Manglares,68
"CONAFOR -Inventario Forestal Estado Chiapas, , México",22 Humedales,28
"CONAFOR -Inventario Forestal Estado Chiapas, , México",44 Otros arbóreo en tierras no agrícola,4
"CONAFOR -Inventario Forestal Estado Chiapas, , México",21 Cuerpos de Agua,3
"CONAFOR -Inventario Forestal Estado Quintana Roo, México",41 Bosque latifoliado y mixto,2442
"CONAFOR -Inventario Forestal Estado Quintana Roo, México","33 Cultivos extensivos, Pastizales y matorrales",348
"CONAFOR -Inventario Forestal Estado Quintana Roo, México",43 Manglares,119
"CONAFOR -Inventario Forestal Estado Quintana Roo, México",31 Cultivos intensivos No-Arbóreos,111
"CONAFOR -Inventario Forestal Estado Quintana Roo, México",22 Humedales,88
"CONAFOR -Inventario Forestal Estado Quintana Roo, México",11 Urbano,22
"CONAFOR -Inventario Forestal Estado Quintana Roo, México",44 Otros arbóreo en tierras no agrícola,12
"CONAFOR -Inventario Forestal Estado Quintana Roo, México",12 Otras tierras,8
"CONAFOR -Inventario Forestal Estado Tabasco, México",22 Humedales,124
"CONAFOR -Inventario Forestal Estado Tabasco, México","33 Cultivos extensivos, Pastizales y matorrales",92
"CONAFOR -Inventario Forestal Estado Tabasco, México",41 Bosque latifoliado y mixto,58
"CONAFOR -Inventario Forestal Estado Tabasco, México",43 Manglares,40
"CONAFOR -Inventario Forestal Estado Tabasco, México",21 Cuerpos de Agua,12
"CONAFOR -Inventario Forestal Estado Tabasco, México",31 Cultivos intensivos No-Arbóreos,8
"CONAFOR -Inventario Forestal Estado Yucatán, México",41 Bosque latifoliado y mixto,1316
"CONAFOR -Inventario Forestal Estado Yucatán, México","33 Cultivos extensivos, Pastizales y matorrales",388
"CONAFOR -Inventario Forestal Estado Yucatán, México",31 Cultivos intensivos No-Arbóreos,206
"CONAFOR -Inventario Forestal Estado Yucatán, México",43 Manglares,48
"CONAFOR -Inventario Forestal Estado Yucatán, México",11 Urbano,8
"CONAFOR -Inventario Forestal Estado Yucatán, México",44 Otros arbóreo en tierras no agrícola,4
"CONAFOR -Inventario Forestal Estado Yucatán, México",22 Humedales,4
FAO - Evaluación Nacional Forestal  Nicaragua,"33 Cultivos extensivos, Pastizales y matorrales",141
FAO - Evaluación Nacional Forestal  Nicaragua,41 Bosque latifoliado y mixto,93
FAO - Evaluación Nacional Forestal  Nicaragua,44 Otros arbóreo en tierras no agrícola,50
FAO - Evaluación Nacional Forestal  Nicaragua,42 Bosque de coníferas,16
FAO - Evaluación Nacional Forestal  Nicaragua,31 Cultivos intensivos No-Arbóreos,11
FAO - Evaluación Nacional Forestal  Nicaragua,22 Humedales,5
FAO - Evaluación Nacional Forestal  Nicaragua,43 Manglares,1
FAO - Evaluación Nacional Forestal  Nicaragua,21 Cuerpos de Agua,1
FAO - Evaluación Nacional Forestal  Nicaragua,12 Otras tierras,1
FAO - Evaluación Nacional Forestal  Nicaragua,11 Urbano,1
FAO - Evaluación Nacional Forestal Costa Rica,44 Otros arbóreo en tierras no agrícola,13
FAO - Evaluación Nacional Forestal Costa Rica,41 Bosque latifoliado y mixto,13
FAO - Evaluación Nacional Forestal Costa Rica,91 Otras,9
FAO - Evaluación Nacional Forestal Guatemala,41 Bosque latifoliado y mixto,89
FAO - Evaluación Nacional Forestal Guatemala,42 Bosque de coníferas,7
FAO - Evaluación Nacional Forestal Guatemala,44 Otros arbóreo en tierras no agrícola,4
FAO - Evaluación Nacional Forestal Honduras,"33 Cultivos extensivos, Pastizales y matorrales",47
FAO - Evaluación Nacional Forestal Honduras,42 Bosque de coníferas,41
FAO - Evaluación Nacional Forestal Honduras,44 Otros arbóreo en tierras no agrícola,33
FAO - Evaluación Nacional Forestal Honduras,41 Bosque latifoliado y mixto,26
FAO - Evaluación Nacional Forestal Honduras,31 Cultivos intensivos No-Arbóreos,2
FAO - Evaluación Nacional Forestal Honduras,12 Otras tierras,2
FAO - Evaluación Nacional Forestal Honduras,43 Manglares,1
FAO - Evaluación Nacional Forestal Honduras,22 Humedales,1
FCPF - Malla MRV-REDD+ Belize,41 Bosque latifoliado y mixto,234025
FCPF - Malla MRV-REDD+ Belize,"33 Cultivos extensivos, Pastizales y matorrales",70015
FCPF - Malla MRV-REDD+ Belize,42 Bosque de coníferas,32242
FCPF - Malla MRV-REDD+ Belize,31 Cultivos intensivos No-Arbóreos,22903
FCPF - Malla MRV-REDD+ Belize,22 Humedales,20429
FCPF - Malla MRV-REDD+ Belize,43 Manglares,11947
FCPF - Malla MRV-REDD+ Belize,44 Otros arbóreo en tierras no agrícola,11804
FCPF - Malla MRV-REDD+ Belize,21 Cuerpos de Agua,4376
FCPF - Malla MRV-REDD+ Belize,11 Urbano,4170
FCPF - Malla MRV-REDD+ Belize,12 Otras tierras,1111
FCPF - Malla MRV-REDD+ El Salvador,41 Bosque latifoliado y mixto,305770
FCPF - Malla MRV-REDD+ El Salvador,31 Cultivos intensivos No-Arbóreos,255953
FCPF - Malla MRV-REDD+ El Salvador,"33 Cultivos extensivos, Pastizales y matorrales",244700
FCPF - Malla MRV-REDD+ El Salvador,32 Cultivos Arbóreos,123570
FCPF - Malla MRV-REDD+ El Salvador,11 Urbano,45005
FCPF - Malla MRV-REDD+ El Salvador,43 Manglares,20433
FCPF - Malla MRV-REDD+ El Salvador,42 Bosque de coníferas,17005
FCPF - Malla MRV-REDD+ El Salvador,12 Otras tierras,8010
FCPF - Malla MRV-REDD+ El Salvador,44 Otros arbóreo en tierras no agrícola,4489
FCPF - Malla MRV-REDD+ El Salvador,21 Cuerpos de Agua,3527
FCPF - Malla MRV-REDD+ El Salvador,91 Otras,10
FCPF - Malla MRV-REDD+ Guatemala,"33 Cultivos extensivos, Pastizales y matorrales",11416
FCPF - Malla MRV-REDD+ Guatemala,41 Bosque latifoliado y mixto,7616
FCPF - Malla MRV-REDD+ Guatemala,32 Cultivos Arbóreos,1444
FCPF - Malla MRV-REDD+ Guatemala,31 Cultivos intensivos No-Arbóreos,980
FCPF - Malla MRV-REDD+ Guatemala,21 Cuerpos de Agua,318
FCPF - Malla MRV-REDD+ Guatemala,11 Urbano,306
FCPF - Malla MRV-REDD+ Guatemala,44 Otros arbóreo en tierras no agrícola,212
FCPF - Malla MRV-REDD+ Guatemala,22 Humedales,193
FCPF - Malla MRV-REDD+ Guatemala,12 Otras tierras,123
FCPF - Malla MRV-REDD+ Guatemala,42 Bosque de coníferas,102
FCPF - Malla MRV-REDD+ Guatemala,43 Manglares,56
FCPF - Malla MRV-REDD+ Honduras,41 Bosque latifoliado y mixto,133431
FCPF - Malla MRV-REDD+ Honduras,"33 Cultivos extensivos, Pastizales y matorrales",106967
FCPF - Malla MRV-REDD+ Honduras,42 Bosque de coníferas,55948
FCPF - Malla MRV-REDD+ Honduras,32 Cultivos Arbóreos,13684
FCPF - Malla MRV-REDD+ Honduras,22 Humedales,8569
FCPF - Malla MRV-REDD+ Honduras,31 Cultivos intensivos No-Arbóreos,5917
FCPF - Malla MRV-REDD+ Honduras,11 Urbano,4329
FCPF - Malla MRV-REDD+ Honduras,21 Cuerpos de Agua,2736
FCPF - Malla MRV-REDD+ Honduras,43 Manglares,1763
FCPF - Malla MRV-REDD+ Honduras,12 Otras tierras,160
FOREST DEPARTMENT - Cultivos - Mapa Belize,31 Cultivos intensivos No-Arbóreos,11585
ICAFE - Poligono de zonasdel cultivo de café de Costa Rica,32 Cultivos Arbóreos,31176
ICF - Cultivos - Mapa Honduras,32 Cultivos Arbóreos,65998
ICF - Cultivos - Mapa Honduras,31 Cultivos intensivos No-Arbóreos,40418
INAB-CCAD/GIZ- Inventario Bosque Municipal Olintepeque,41 Bosque latifoliado y mixto,49
INAB-CCAD/GIZ- Inventario Bosque Municipal Olintepeque,42 Bosque de coníferas,3
INAB-CCAD/GIZ- Inventario Bosque Municipal Olintepeque,44 Otros arbóreo en tierras no agrícola,2
MAG - Inventario Forestal Preliminar Piloto El Salvador,42 Bosque de coníferas,50
MAG - Inventario Forestal Preliminar Piloto El Salvador,44 Otros arbóreo en tierras no agrícola,20
MAGA - Cultivos - Mapa Guatemala,32 Cultivos Arbóreos,109031
MAGA - Cultivos - Mapa Guatemala,31 Cultivos intensivos No-Arbóreos,97919
MARN-MAG/FCPF - Inventario Forestal El Salvador,41 Bosque latifoliado y mixto,146
MARN-MAG/FCPF - Inventario Forestal El Salvador,42 Bosque de coníferas,80
MARN-MAG/FCPF - Inventario Forestal El Salvador,43 Manglares,52
MARN-MAG/FCPF - Inventario Forestal El Salvador,32 Cultivos Arbóreos,40
MIAMBIENTE - Cultivos Mapa Panamá,31 Cultivos intensivos No-Arbóreos,24475
MIAMBIENTE - Mapa de bosques y otras tierras boscosas de Panamá,41 Bosque latifoliado y mixto,2720
MIAMBIENTE - Mapa de bosques y otras tierras boscosas de Panamá,"33 Cultivos extensivos, Pastizales y matorrales",1561
MIAMBIENTE - Mapa de bosques y otras tierras boscosas de Panamá,43 Manglares,109
MIAMBIENTE - Mapa de bosques y otras tierras boscosas de Panamá,11 Urbano,93
MIAMBIENTE - Mapa de bosques y otras tierras boscosas de Panamá,21 Cuerpos de Agua,78
MIAMBIENTE - Mapa de bosques y otras tierras boscosas de Panamá,44 Otros arbóreo en tierras no agrícola,63
MIAMBIENTE - Mapa de bosques y otras tierras boscosas de Panamá,31 Cultivos intensivos No-Arbóreos,48
MIAMBIENTE - Mapa de bosques y otras tierras boscosas de Panamá,22 Humedales,16
MIAMBIENTE - Mapa de bosques y otras tierras boscosas de Panamá,32 Cultivos Arbóreos,14
MIAMBIENTE - Mapa de bosques y otras tierras boscosas de Panamá,12 Otras tierras,14
MIAMBIENTE/ONUREDD - Inventario Forestal Panamá,41 Bosque latifoliado y mixto,24
MIAMBIENTE/ONUREDD - Inventario Forestal Panamá,"33 Cultivos extensivos, Pastizales y matorrales",4
MIAMBIENTE/ONUREDD - Inventario Forestal Panamá,31 Cultivos intensivos No-Arbóreos,3
MIAMBIENTE/ONUREDD - Inventario Forestal Panamá,44 Otros arbóreo en tierras no agrícola,2
MIAMBIENTE/ONUREDD - Inventario Forestal Panamá,43 Manglares,2
MIAMBIENTE/ONUREDD - Inventario Forestal Panamá,91 Otras,1
"Muestras de Entrenamiento de Jimenez, 2020 - Belice",41 Bosque latifoliado y mixto,1611
"Muestras de Entrenamiento de Jimenez, 2020 - Belice",42 Bosque de coníferas,359
"Muestras de Entrenamiento de Jimenez, 2020 - Belice","33 Cultivos extensivos, Pastizales y matorrales",277
"Muestras de Entrenamiento de Jimenez, 2020 - Belice",31 Cultivos intensivos No-Arbóreos,50
"Muestras de Entrenamiento de Jimenez, 2020 - Belice",21 Cuerpos de Agua,41
"Muestras de Entrenamiento de Jimenez, 2020 - Belice",11 Urbano,36
"Muestras de Entrenamiento de Jimenez, 2020 - Belice",43 Manglares,34
"Muestras de Entrenamiento de Jimenez, 2020 - Costa Rica",41 Bosque latifoliado y mixto,4938
"Muestras de Entrenamiento de Jimenez, 2020 - Costa Rica","33 Cultivos extensivos, Pastizales y matorrales",2136
"Muestras de Entrenamiento de Jimenez, 2020 - Costa Rica",11 Urbano,466
"Muestras de Entrenamiento de Jimenez, 2020 - Costa Rica",43 Manglares,237
"Muestras de Entrenamiento de Jimenez, 2020 - Costa Rica",21 Cuerpos de Agua,42
"Muestras de Entrenamiento de Jimenez, 2020 - Costa Rica",44 Otros arbóreo en tierras no agrícola,20
"Muestras de Entrenamiento de Jimenez, 2020 - Costa Rica",22 Humedales,17
"Muestras de Entrenamiento de Jimenez, 2020 - El Salvador","33 Cultivos extensivos, Pastizales y matorrales",3334
"Muestras de Entrenamiento de Jimenez, 2020 - El Salvador",32 Cultivos Arbóreos,1459
"Muestras de Entrenamiento de Jimenez, 2020 - El Salvador",41 Bosque latifoliado y mixto,780
"Muestras de Entrenamiento de Jimenez, 2020 - El Salvador",11 Urbano,324
"Muestras de Entrenamiento de Jimenez, 2020 - El Salvador",43 Manglares,270
"Muestras de Entrenamiento de Jimenez, 2020 - El Salvador",42 Bosque de coníferas,33
"Muestras de Entrenamiento de Jimenez, 2020 - El Salvador",21 Cuerpos de Agua,13
"Muestras de Entrenamiento de Jimenez, 2020 - El Salvador",22 Humedales,8
"Muestras de Entrenamiento de Jimenez, 2020 - Guatemala","33 Cultivos extensivos, Pastizales y matorrales",3706
"Muestras de Entrenamiento de Jimenez, 2020 - Guatemala",41 Bosque latifoliado y mixto,1483
"Muestras de Entrenamiento de Jimenez, 2020 - Guatemala",11 Urbano,681
"Muestras de Entrenamiento de Jimenez, 2020 - Guatemala",32 Cultivos Arbóreos,367
"Muestras de Entrenamiento de Jimenez, 2020 - Guatemala",42 Bosque de coníferas,350
"Muestras de Entrenamiento de Jimenez, 2020 - Guatemala",43 Manglares,131
"Muestras de Entrenamiento de Jimenez, 2020 - Guatemala",22 Humedales,49
"Muestras de Entrenamiento de Jimenez, 2020 - Guatemala",21 Cuerpos de Agua,19
"Muestras de Entrenamiento de Jimenez, 2020 - Honduras","33 Cultivos extensivos, Pastizales y matorrales",4245
"Muestras de Entrenamiento de Jimenez, 2020 - Honduras",41 Bosque latifoliado y mixto,3479
"Muestras de Entrenamiento de Jimenez, 2020 - Honduras",42 Bosque de coníferas,3292
"Muestras de Entrenamiento de Jimenez, 2020 - Honduras",11 Urbano,476
"Muestras de Entrenamiento de Jimenez, 2020 - Honduras",32 Cultivos Arbóreos,241
"Muestras de Entrenamiento de Jimenez, 2020 - Honduras",22 Humedales,239
"Muestras de Entrenamiento de Jimenez, 2020 - Honduras",31 Cultivos intensivos No-Arbóreos,222
"Muestras de Entrenamiento de Jimenez, 2020 - Honduras",43 Manglares,202
"Muestras de Entrenamiento de Jimenez, 2020 - Honduras",21 Cuerpos de Agua,104
"Muestras de Entrenamiento de Jimenez, 2020 - Nicaragua",41 Bosque latifoliado y mixto,686
"Muestras de Entrenamiento de Jimenez, 2020 - Nicaragua","33 Cultivos extensivos, Pastizales y matorrales",484
"Muestras de Entrenamiento de Jimenez, 2020 - Nicaragua",42 Bosque de coníferas,139
"Muestras de Entrenamiento de Jimenez, 2020 - Nicaragua",43 Manglares,107
"Muestras de Entrenamiento de Jimenez, 2020 - Nicaragua",22 Humedales,59
"Muestras de Entrenamiento de Jimenez, 2020 - Nicaragua",11 Urbano,12
"Muestras de Entrenamiento de Jimenez, 2020 - Nicaragua",21 Cuerpos de Agua,2
"Muestras de Entrenamiento de Jimenez, 2020 - Nicaragua",44 Otros arbóreo en tierras no agrícola,1
"Muestras de Entrenamiento de Jimenez, 2020 - Panamá","33 Cultivos extensivos, Pastizales y matorrales",5026
"Muestras de Entrenamiento de Jimenez, 2020 - Panamá",41 Bosque latifoliado y mixto,3460
"Muestras de Entrenamiento de Jimenez, 2020 - Panamá",43 Manglares,1391
"Muestras de Entrenamiento de Jimenez, 2020 - Panamá",11 Urbano,414
"Muestras de Entrenamiento de Jimenez, 2020 - Panamá",21 Cuerpos de Agua,84
"Muestras de Entrenamiento de Jimenez, 2020 - Panamá",22 Humedales,58
SINA-CCAD/GIZ - Inventario Forestal Piloto Terraba-Sierpe Costa Rica,44 Otros arbóreo en tierras no agrícola,10
SINA-CCAD/GIZ - Inventario Forestal Piloto Terraba-Sierpe Costa Rica,43 Manglares,10
SINA-CCAD/GIZ - Inventario Forestal Piloto Terraba-Sierpe Costa Rica,41 Bosque latifoliado y mixto,10
"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",41 Bosque latifoliado y mixto,57966
"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica","33 Cultivos extensivos, Pastizales y matorrales",31310
"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",91 Otras,5753
"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",22 Humedales,3890
"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",44 Otros arbóreo en tierras no agrícola,884
SINAC-CCAD/GIZ - Inventario Forestal Costa Rica,41 Bosque latifoliado y mixto,145
SINAC-CCAD/GIZ - Inventario Forestal Costa Rica,44 Otros arbóreo en tierras no agrícola,117
SINAC-CCAD/GIZ - Inventario Forestal Costa Rica,43 Manglares,14
